actual_headline,mt5_headline,mbart_headline,lstm_headline
အစ္စရေး၊ အမေရိကန်၊ ဗြိတိန်သင်္ဘောများ ပင်လယ်နီတွင် သွားလာခွင့် ဟူသီသူပုန် ပိတ်ပင်,ဟူသီသူပုန်အဖွဲ့က အစ္စရေး၊ အမေရိကန်နှင့် ဗြိတိန် အဖွဲ့အစည်းများ အလံထူ,အစ္စရေး၊ အမေရိကန်နှင့် ဗြိတိန် အလံထူထားသည့် သင်္ဘောများ,အမေရိကန်အသင်္ဘောများအဘောများကိုအမေရိကန်သဘောတူညီ
လူမှုကွန်ရက်တွင် သတင်းဖော်ပြသည့်အတွက် ပိုက်ဆံပေးရမည်ဟု အင်ဒိုနီးရှား ပြောဆိုချက် မက်တာကုမ္ပဏီ တုံ့ပြန်,အင်ဒိုနီးရှားတွင် ဒစ်ဂျစ်တယ်ပလက်ဖောင်းများ ပိုက်ဆံပေးချရေမည်ဟု သမ္မတ ဂျိုကိုဝီဒိုဒို အမိန့်ထုတ်ပြန်,အင်ဒိုနီးရှား ဒစ်ဂျစ်တယ်ပလက်ဖောင်းများ သတင်းအချက်အလက်ပိုက်ဆံပေးချေမည်,အင်ဒိုနီးရှားသမ္မတဟောင်းကိုကိုကိုကိုကိုရန်ရန်ရန်သမ္မတပြော
ပါရီတွင်ကျင်းပမည့် ဂါဇာအပစ်ရပ်ဆွေးနွေးပွဲ အစ္စရေးတက်မည်,ပါရီတွင် ဂါဇာအပစ်ရပ်ရေးနှင့် ဓားစာခံလွတ်မြောက်ရေးဆွေးနွေးပွဲတွင် အစ္စရေး တက်ရောက်ဆွေးနွေးမည်,ပါရီတွင်ကျင်းပမည့် ဂါဇာအပစ်ရပ်ဆွေးနွေးပွဲ အစ္စရေးတက်မည်,ပါတီတိုင်းတွင်အစ္စရေးအစ္စရေးဆွေးနွေးပွဲအအအအအအအ
ရုရှားအတိုက်အခံခေါင်းဆောင် နာဗယ်လ်ညီ၏ ဇနီးနှင့် သမီးကို သမ္မတဘိုင်ဒင် တွေ့ဆုံ,အမေရိကန်သမ္မတ ဂျိုးဘိုင်ဒင်၏ဇနီးနှင့် သမီးကို ရုရှားအတိုက်အခံခေါင်းဆောင် တွေ့ဆုံ,ရုရှားအတိုက်အခံခေါင်းဆောင် နာဗယ်လ်ညီ၏ ဇနီးနှင့် သမီးကို သမ္မတ ဘိုင်ဒင် တွေ့ဆုံ,အစ္စသမ္မတဟောင်းအအအအအအအအအအသမ္မတဟောင်း
ပုဂ္ဂလိကပိုင် အာကာသယာဉ် လပေါ်သို့ ပထမဆုံးအကြိမ် အောင်မြင်စွာဆင်းသက်,လပေါ်ကို အာကာသယာဉ်ဆင်းသက်နိုင်သည့် ပထမဆုံးကုမ္ပဏီအဖြစ် အမေရိကန် သမိုင်းဝင်,လပေါ်ကို အာကာသယာဉ် ဆင်းသက်နိုင်သည့် ပထမဆုံးကုမ္ပဏီ အမေရိကန် ဟူစတန်အခြေစိုက်,မြန်မာအအပူတင်အအအအအအအအအအအအဆုံး
အမေရိကန်က ရုရှားကို ပိတ်ဆို့ဒဏ်ခတ်မှု ၅၀၀ ကျော် ချမှတ်မည်,ယူကရိန်းကို ရုရှားကျူးကျော်မှု ဒုတိယနှစ်ပတ်လည်နေ့အထိမ်းအမှတ်အဖြစ် အမေရိကန် ပစ်မှတ် ၅၀၀ ကျော် ဒဏ်ခတ်ပိတ်ဆို့,ယူကရိန်းကို အမေရိကန်က ပစ်မှတ် ၅၀၀ ကျော် ပိတ်ဆို့ဒဏ်ခတ်မည်,ရုရှားအအအအအအအအအအအအအချမှတ်
"သြစတြေးလျတွင် တောမီးကြောင့် လူ ၂,၀၀၀ ကျော် ရွှေ့ပြောင်း","သြစတြေးလျတွင် တောမီးကြောင့် လူပေါင်း ၂,၀၀၀ ကျော်ကို ဘေးလွတ်ရာရွှေ့ပြောင်းရန် အမိန့်ထုတ်","သြစတြေးလျတွင် တောမီးကြောင့် လူ ၂,၀၀၀ ကျော်ကို ဘေးလွတ်ရာ ရွှေ့ပြောင်း",သြစတြေးလျတွင်လူ၁၀၀၀၀၀၀၀၀၀၀ကျော်ရွှေ့ပြောင်း
ဂျပန်နှင့် တောင်ကိုရီးယား နိုင်ငံခြားရေးဝန်ကြီး ၂ ဦး ဆွေး‌ေနွး,ဂျပန်နိုင်ငံခြားရေးဝန်ကြီး ယိုခို ခမိခဝ အပြန်အလှန်ဆွေးနွေး,ဂျပန်နှင့် တောင်ကိုရီးယား နိုင်ငံခြားရေးဝန်ကြီး ၂ ဦး တွေ့ဆုံဆွေးနွေး,ဂျပန်နိုင်ငံခြားရေးဝန်ကြီးချုပ်ကိုရီးယားနိုင်ငံခြားရေးဝန်ကြီးချုပ်တွေ့
ထိုင်ဝမ်ကို လက်နက် သေချာပေးပို့ရန် အမေရိကန် ကိုယ်စားလှယ်ပြော,ထိုင်ဝမ်ကို လက်နက်တင်ပို့မှု နောက်ကျကျန်နေသေးဟု တရုတ် အောက်လွှတ်တော်ဥက္ကဋ္ဌပြော,ထိုင်ဝမ်ကို လက်နက်ပေးပို့မှု သေချာစေရန်လိုအပ်,ထိုင်ဝမ်နှင့်အမေရိကန်အအအအအအရန်အမေရိကန်ပြော
တရုတ်နိုင်ငံတောင်ပိုင်း ကွမ်ကျိုးမြို့အနီး မြစ်ကူးတံတားကျိုးကျပြီး လူ ၂ ဦးသေဆုံး,ကွမ်ကျိုးမြို့တွင် ပုလဲမြစ်ကူးတံတား ဝင်တိုက်မိပြီး ရေထဲကို ပြောင်းရွှေ့,တရုတ်နိုင်ငံတောင်ပိုင်း နန်ရှာဒေသတွင် ကွန်တိန်နာတင် သင်္ဘောတိုက်မိပြီး ရေကြီး,တရုတ်ပင်လယ်တွင်ရေရေရေရေရေမြုပ်ပြီးရေမြုပ်ပြီးရေမြုပ်ပြီးရေဦး
အာတာပူစီမုန့်တွင် ကင်ဆာဖြစ်စေသည့် ဓာတ်ပစ္စည်းများ တွေ့သဖြင့် အိန္ဒိယတွင် ရောင်းချမှုပိတ်,အိန္ဒိယတွင် Cotton Candy မုန့်တွင် ကင်ဆာဖြစ်စေသည့် ဓာတ်ပစ္စည်းများပါဝင်,ကင်ဆာဖြစ်စေသည့်ဓာတ်ပစ္စည်းများ အိန္ဒိယတွင် တွေ့ရှိ,အာဂျင်တီးတွင်မြန်မာအကိုသဖြင့်ကလေးများကိုပိတ်
ဆန္ဒပြ အိန္ဒိယလယ်သမားများက လုံခြုံရေးတပ်၏ဒရုန်းများကို စွန်၊ လေးခွ၊ မီးကျည် သေနတ်များဖြင့် ပစ်ခတ်,အိန္ဒိယတွင် လူအုပ်ကို မျက်ရည်ယိုဓာတ်ငွေ့ဖြင့်ဖျန်းရန် လယ်သမားများ ဆန္ဒပြ,ဆန္ဒပြ အိန္ဒိယလယ်သမားများ မျက်ရည်ယိုဓာတ်ငွေ့ဖျန်းရန် ဒရုန်းများဖြင့် ဖျော်ဖြေ,အိန္ဒိယတွင်န္ဒပြသူများကိုစစ်တပ်ကများကိုစစ်တပ်ကကကပိတ်
မြန်မာနိုင်ငံမှ ယူရေနီယံ အီရန်ထံ ရောင်းချရန် ကြံစည်မှုဖြင့် ဂျပန်ယာကူဇာ ၁ ဦး စွဲချက်တင်ခံရ,အီရန်နိုင်ငံကို ရောင်းစားရန် ကြံစည်မှုနှင့် ဂျပန်ယာကူဇာဂိုဏ်းခေါင်းဆောင် ၁ ဦးကို အမေရိကန်က တိုက်တွန်း,နျူးကလီးယားကုန်ကြမ်းပစ္စည်းဝယ်ပြီး အီရန်ကို ရောင်းစားရန် ကြံစည်မှုဖြင့် ဂျပန်ယာကူဇာဂိုဏ်းကို တရားစွဲ,မြန်မာစစ်တပ်ကအကိုအမေရိကန်ကအမေရိကန်ကအမေရိ
ကိုလံဘီယာအစိုးရနှင့် ELN အဖွဲ့ ငြိမ်းချမ်းရေးဆွေးနွေးမှု ရှေ့မဆက်နိုင်,ကိုလံဘီယာအစိုးရနှင့် ELN အကြားက ငြိမ်းချမ်းရေးဆွေးနွေးမှု အကျပ်အတည်းဖြစ်နေ,ကိုလံဘီယာအစိုးရနှင့် ELN အဖွဲ့ ငြိမ်းချမ်းရေးဆွေးနွေးမှု အကျပ်အတည်းဖြစ်နေ,ကိုလံဘီယာအအအအဖွဲ့အဖွဲ့အဖွဲ့အဖွဲ့အဖွဲ့အဖွဲ့အ
သေဒဏ်ချမှတ်ခံရသည့် သြစတြေးလျစာရေးဆရာကို ကာကွယ်ပေးထားဟု တရုတ်ပြော,သြစတြေးလျစာရေးဆရာ ယန်ဟန်ကျွင်း တရားဝင်အခွင့်အရေး ကာကွယ်ပေးထားဟု တရုတ်ပြော,သြစတြေးလျစာရေးဆရာ၏ တရားဝင်အခွင့်အရေးကို ကာကွယ်ပေးထားဟု တရုတ်ပြော,သြစတြေးလျအရာအရာအအအအအအအရန်အမေရိကန်
ထိုင်းတွင် နွေရာသီ ယခင်နှစ်များထက် အပူချိန်မြင့်တက် ပိုမိုပူပြင်းမည်,ထိုင်းတွင် ဆောင်းရာသီကုန်ဆုံးပြီး နွေရာသီစတင်ဝင်ရောက်,ထိုင်းနိုင်ငံတွင် ၂၀၂၄ ခုနှစ်အတွင်း ဆောင်းရာသီကုန်ဆုံးပြီး နွေရာသီဝင်ရောက်,ထိုင်းတွင်အအအအအအအအအအအအအပူတင်
ပါလက်စတိုင်းနယ်မြေမှ အစ္စရေးဆုတ်ခွာရန် အမိန့်မချသင့်ဟု ICJ တွင် အမေရိကန် လျှောက်လဲ,ပါလက်စတိုင်းနယ်မြေများကို ချက်ချင်းဆုတ်ခွာပေးရန် အစ္စရေး အမိန့်မချသင့်,ပါလက်စတိုင်းနယ်မြေမှ ချက်ချင်းဆုတ်ခွာရန် အမိန့်မချသင့်ဟု အစ္စရေးပြော,ပါလက်စတိုင်းအအအအအအအရန်အရန်အရန်အမေရိကန်
သမ္မတဘိုင်ဒင်က ဒေါ်လာ ၁ ဘီလီယံကျော်တန်ဖိုးရှိ ကျောင်းသားကြွေးမြီများကို ပယ်ဖျက်ပေး,အမေရိကန်သမ္မတ ဂျိုးဘိုင်ဒင် ချေးငွေပယ်ဖျက်ပေးမှု အစီအစဉ် အကောင်အထည်ဖော်မည်,ချေးငွေပယ်ဖျက်ပေးရန် အမေရိကန်သမ္မတ ဂျိုးဘိုင်ဒင်က ဒေါ်လာ ၁ ဒသမ ၂ ဘီလီယံ တောင်းဆို,အမေရိကန်ကအအအအအအအအ၀၀၀၀ကျော်ကိုအ
တရုတ်အပေါ် ဥရောပက အမြင်မှန်လာပြီဟု နိုင်ငံခြားရေးဝန်ကြီး ဝမ်ယိ ပြော,တရုတ်ကို အကျိုးသင့်အကြောင်းသင့် ရှုမြင်တတ်လာပြီဟု တရုတ်နိုင်ငံခြားရေးဝန်ကြီးပြော,တရုတ်ကို ကြောက်စရာမလိုကြောင်း နားလည်လာပြီဟု ဝမ်ယိ ပြော,တရုတ်နိုင်ငံတရုတ်နိုင်ငံတရုတ်နိုင်ငံတရုတ်နိုင်ဟုဟုတရုတ်ပြော
ဗင်နီဇွဲလားတွင် ရွှေမိုင်းတွင်းပြိုကျပြီး အနည်းဆုံး ၁၅ ဦးသေဆုံး၊ ၁၁ ဦးဒဏ်ရာရ,ဗင်နီဇွဲလားတွင် တရားမဝင် ရွှေမိုင်းတွင်းမြေပြိုမှုကြောင့် လူ ၁၅ ဦးသေဆုံး၊ ၁၁ ဦး ဒဏ်ရာရ,ဗင်နီဇွဲလားတွင် ရွှေမိုင်းတွင်း မြေပြိုပြီး အနည်းဆုံး ၁၅ ဦးသေဆုံး၊ ၁၁ ဦးဒဏ်ရာရ,ဗင်နီတွင်တွင်မြေပြိုပြီးပြီးပြီးပြီး၁ဦးသေဆုံး
ဂါဇာနှင့် ဆီးရီးယားကို အစ္စရေး လေကြောင်းတိုက်ခိုက်,ဂါဇာတွင် ပါလက်စတိုင်း ၆ ဦးထက်မနည်း သေဆုံး,အစ္စရေး လေကြောင်းတိုက်ခိုက်မှုကြောင့် ဂါဇာတွင် ၆ ဦးထက်မနည်း သေဆုံး,ဂါဇာတွင်လေကြောင်းတိုက်ခိုက်မှုကြောင့်ဟစ်ဇ်ဘိုလာ
အာကာသအတွင်း နျူးကလီးယားလက်နက် ချထားမှုကို ရုရှား ဆန့်ကျင်,ရုရှား နျူးကလီးယားလက်နက်များကို အာကာသအတွင်း နေရာချဖြန့်ကျက်ထားမှု ဆန့်ကျင်ဟု သမ္မတ ဗလာဒီမာပူတင်ပြော,နျူးကလီးယားလက်နက်များ အာကာသတွင်းနေရာချထားမှု ဆန့်ကျင်ဟု ရုရှားသမ္မတပူတင်ပြော,ရုရှားသမ္မတကိုရုရှားသရုရှားသမ္မတပူတင်
ပါကစ္စတန်ပါတီကြီး ၂ ပါတီ ညွန့်ပေါင်းအစိုးရဖွဲ့ရန် ညှိနှိုင်းဆွေးနွေးမှု အဆုံးသတ်,ပါကစ္စတန်နိုင်ငံရေးပါတီကြီး ၂ ခုက ညွန့်ပေါင်းအစိုးရဖွဲ့ရန် ၁၀ ရက်ကြာ ညှိနှိုင်းဆွေးနွေး,ပါကစ္စတန်တွင် ညွန့်ပေါင်းအစိုးရဖွဲ့ရန် ညှိနှိုင်းဆွေးနွေးမှု အဆုံးသတ်,ပါကစ္စတန်အအအအအအအအအအအအအအအအ
ဟွန်ဒူးရပ်စ်သမ္မတဟောင်း ဟာနန်ဒက်ဇ် မူးယစ်ဆေးဝါးမှုဖြင့် စစ်ဆေးခံရ,ဟွန်ဒူးရပ်စ်သမ္မတဟောင်း အမေရိကန် မူးယစ်ဆေးဝါးရောင်းဝယ်ဖောက်ကားမှု စွဲချက်ဖြင့် တရားရင်ဆိုင်နေရ,ဟွန်ဒူးရပ်စ်သမ္မတဟောင်း ဟွမ်န် အော်လန်ဒို ဟာနန်ဒက်ဇ် မူးယစ်ဆေးဝါးရောင်းဝယ်ဖောက်ကားမှု စွဲချက်ဖြင့် တရားရင်ဆိုင်နေရ,ဟွန်ဒူးသမ္မတဟောင်းကိုယစ်ဆေးဆေးဝါးအဆေးဆေးဆေး
ထိုင်းဝန်ကြီးချုပ်ဟောင်း သက်ဆင်ကို ကမ္ဘောဒီးယားဝန်ကြီးချုပ်ဟောင်း ဟွန်ဆန် တွေ့ဆုံ,ထိုင်းဝန်ကြီးချုပ်ဟောင်း သက်ဆင်ရှင်နာဝပ်ကို အကျဉ်းထောင်မှ ပြန်လွတ်လာသည့် ကမ္ဘောဒီးယားနိုင်ငံ ဝန်ကြီးဟောင်း ဆမ်ဒက် ဟွန်ဆန်က ကြေညာ,ထိုင်းဝန်ကြီးချုပ်ဟောင်း သက်ဆင်ရှင်နာဝပ် ကမ္ဘောဒီးယားရောက်,ထိုင်းဝန်ကြီးချုပ်ဟောင်းဟောင်းဆေထာဝီးဝန်ကြီးချုပ်ဟောင်းတွေ့ဆုံ
ယူကရိန်းဘက် ခိုလှုံခဲ့သည့် ရုရှားလေယာဉ်မှူးအလောင်းကို စပိန်တွင်တွေ့ရှိ,ရုရှားလေယာဉ်မှူး ၁ ဦး၏ ကျည်ဆန်ရာပြည့်နေသည့် အလောင်း စပိန်နိုင်ငံ မြေအောက်ကားဂိုဒေါင်တွင် တွေ့ရှိ,ယူကရိန်းဘက် ခိုလှုံခဲ့သည့် ရုရှားလေယာဉ်မှူး၏ အလောင်းကို စပိန်တွင်တွေ့ရှိ,ယူကရိန်းကိုတပ်ကရိန်းတပ်ကဝင်သည့်ရုရှားခဲ့သည့်ရုရှားအဝင်ရောက်
အမေရိကန်က ရုရှားကို အကြီးစားပိတ်ဆို့အရေးယူမှု လုပ်မည်,ယူကရိန်းစစ်ပွဲကြောင့် ရုရှားအပေါ် အမေရိကန် ပိတ်ဆို့အရေးယူ,ရုရှားအပေါ် အမေရိကန်က ပိတ်ဆို့အရေးယူမှုအကြီးစားတခု ဖေဖော်ဝါရီ ၂၃ ရက်နေ့ စတင်,အမေရိကန်အအအအအအအအမေရိကန်အမေရိကန်အ
ပါကစ္စတန် - အာဖဂန် နယ်စပ်တွင် ဆန္ဒပြအလုပ်သမားများ မျက်ရည်ယိုဗုံးဖြင့် ပစ်ခံရ,ပါကစ္စတန်နှင့် အာဖဂန်နစ္စတန် နှစ်နိုင်ငံနယ်စပ်တွင် ဆန္ဒပြနေသည့် အလုပ်သမားများကို ရဲတပ်ဖွဲ့က မျက်ရည်ယိုဗုံးဖြင့် ပစ်ခတ်,ပါကစ္စတန်နှင့် အာဖဂန် နယ်စပ်တွင် ဆန္ဒပြအလုပ်သမားများ မျက်ရည်ယိုဗုံးကြဲခံရ,ပါကစ္စတန်တွင်ဆန္ဒပြသူများကိုအကြမ်းဖက်ပစ်ခတ်မှုများကိုပစ်
ယူကရိန်းနယ်မြေထဲ ရှေ့ဆက်တိုးမည်ဟု ရုရှားသမ္မတ ပူတင်ပြော,ယူကရိန်းနယ်မြေထဲ ရုရှားတပ်များ ရှေ့ဆက်တိုးမည်ဟု သမ္မတ ဗလာဒီမာပူတင်ပြော,ယူကရိန်းနယ်မြေထဲ ရှေ့ဆက်တိုးမည်ဟု သမ္မတပူတင်ပြော,ယူကရိန်းကိုရုရှားသမ္မတကရိန်းကိုရုရှားသမ္မတပြော
မိန်းကလေးများကို ညစ်ညမ်းဗွီဒီယိုရိုက် ခြိမ်းခြောက်ငွေညှစ်မှုဖြင့် ထိုင်းသရုပ်ဆောင် ၁ ဦး ဖမ်းဆီးခံရ,ထိုင်းပညာပေးသရုပ်ဆောင် မော့စ် (ခ)နိုင်းကျကဖန်း ခမ်းထတ် မိန်းကလေးအယောက် ၁၀၀ ခန့် ထည်လဲတွဲပြီး ညစ်ညမ်းဗွီဒီယို,ထိုင်းသရုပ်ဆောင် မော့စ် (ခ) နိုင်းကျကဖန်း ခမ်းထတ် မိန်းကလေးအယောက် ၁၀၀ ဖြင့် ညစ်ညမ်းဗွီဒီ,အလုပ်သမားများကိုအကိုကရိုက်လံလွှင့်ကိုအလံဖမ်းဆီး
ဆန္ဒပြ ပိုလန်လယ်သမားများက ယူကရိန်းနယ်စပ်ကို ပိတ်ဆို့,ယူကရိန်းနယ်စပ်ကို ပိတ်ဆို့ထားသည့် ပိုလန်လယ်သမားများ ဆန္ဒပြ,ပိုလန်လယ်သမားများက ယူကရိန်းနယ်စပ်ကို ပိတ်ဆို့ဆန္ဒပြ,ဆန္ဒပြသမားများကိုကရိန်းသမားများကိုယူကရိန်းသမ္မတပြော
ထိုင်ဝမ်ရေပိုင်နက်ထဲ ဝင်လာသည့် တရုတ်ကမ်းခြေစောင့်သင်္ဘောကို မောင်းထုတ်,တရုတ်ကမ်းခြေစောင့်သင်္ဘောတစင်းကို ထိုင်ဝမ်အစိုးရ မောင်းထုတ်,တရုတ်ကမ်းခြေစောင့်သင်္ဘောကို ထိုင်ဝမ် မောင်းထုတ်,ထိုင်ဝမ်တရုတ်သင်္ဘောများကိုတရုတ်သင်္ဘောများကိုအ
ဓားစာခံများ လွတ်မြောက်ရေးအတွက် တောင်းဆိုချက်ကို လိုက်လျောမည်မဟုတ်ဟု အစ္စရေးပြော,ဂါဇာကမ်းမြောင်ဒေသတွင် ဖမ်းဆီးခံထားရဆဲ ဓားစာခံများ ပြန်လွှတ်ပေးရေး ညှိနှိုင်းမှု အစ္စရေးဘက်က ဘာမှပေးမည်မဟုတ်,အစ္စရေးက ဓားစာခံများ ပြန်လွှတ်ပေးရေး ညှိနှိုင်းနေ,ဓားစာခံများအအအအအအအအစ္စရေးအစ္စရေးအစ္စရေး
ဂါဇာတွင် တိုက်ခိုက်မှုများ အဆုံးသတ်ရန် ဝေလမင်းသား ဝီလျံ တိုက်တွန်း,ဂါဇာကမ်းမြောင်တွင် တိုက်ခိုက်မှု အစောဆုံးအဆုံးသတ်ရန် ဗြိတိန်အိမ်ရှေ့စံ ဝီလျံတိုက်တွန်း,ဂါဇာတွင် တိုက်ခိုက်မှုများ အဆုံးသတ်ရန် ဝေလမင်းသားဝီလျံ တိုက်တွန်း,ဂါဇာတွင်အပစ်သတ်ဖြတ်မှုအအအအအအအအအ
ဂါဇာတွင် ချက်ချင်းအပစ်ရပ်ရန် လုံခြုံရေးကောင်စီဆုံးဖြတ်ချက် အမေရိကန် ဗီတိုသုံး ပယ်ချ,ဂါဇာကမ်းမြောင်တွင် ချက်ချင်းအပစ်ရပ်စဲရန် ကုလလုံခြုံရေးကောင်စီ ဆုံးဖြတ်ချက်မူကြမ်းကို အမေရိကန် တောင်းဆို,ဂါဇာအပစ်ရပ်ရေး ကုလလုံခြုံရေးကောင်စီဆုံးဖြတ်ချက် အမေရိကန် ဗီတိုသုံး ထပ်မံတောင်းဆို,ဂါဇာအခြုံရေးကောင်စီအအအအအအအအအအအအအ
ဂိုလန်ကုန်းမြင့်ဒေသတွင် အစ္စရေးတင့်ကားများ ပစ်ခတ်လေ့ကျင့်,အစ္စရေးစစ်တပ် တင့်ကားနှင့် တိုက်ရိုက်ပစ်ခတ်လေ့ကျင့်,ဂိုလန်ကုန်းမြင့်ဒေသတွင် အစ္စရေးစစ်တပ် တိုက်ရိုက်ပစ်ခတ်လေ့ကျင့်,အစ္စရေးအစ္စရေးအစ္စရေးအဖွဲ့များကိုပစ်ခတ်
